year,start_policy_rate_pct,end_policy_rate_pct,min_policy_rate_pct,max_policy_rate_pct,net_change_bps,gross_hikes_bps,gross_cuts_bps,decision_count,policy_decision_count,historical_observation_count,hike_count,cut_count,hold_count,first_decision_date,last_decision_date,year_end_action,year_end_stance,year_end_regime_id,year_end_regime_type,year_end_regime_label,year_end_source_id,year_end_source_url,source_count,provenance_summary,snapshot_id,snapshot_checksum,snapshot_retrieved_at,dataset_schema_version,record_text
2012,8.5,8.0,8.0,8.5,-50,0,50,1,0,1,0,1,0,2012-04-17,2012-04-17,cut,,regime-2011-10-25-2013-05-03-pause,pause,Inflation plateau,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2012, the Reserve Bank of India policy repo rate ranged from 8.00% to 8.50%; a net change of -50 basis points was recorded across 1 canonical ledger record."
2013,8.0,7.75,7.25,8.0,-25,50,75,5,0,5,2,3,0,2013-01-29,2013-10-29,hike,,regime-2013-09-20-2014-01-28-tightening,tightening,Taper tantrum response,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2013, the Reserve Bank of India policy repo rate ranged from 7.25% to 8.00%; a net change of -25 basis points was recorded across 5 canonical ledger records."
2014,7.75,8.0,7.75,8.0,25,25,0,1,0,1,1,0,0,2014-01-28,2014-01-28,hike,,regime-2014-01-28-2016-10-04-easing,easing,Rajan easing cycle,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2014, the Reserve Bank of India policy repo rate ranged from 7.75% to 8.00%; a net change of +25 basis points was recorded across 1 canonical ledger record."
2015,8.0,6.75,6.75,8.0,-125,0,125,4,0,4,0,4,0,2015-01-15,2015-09-29,cut,,regime-2014-01-28-2016-10-04-easing,easing,Rajan easing cycle,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2015, the Reserve Bank of India policy repo rate ranged from 6.75% to 8.00%; a net change of -125 basis points was recorded across 4 canonical ledger records."
2016,6.75,6.25,6.25,6.75,-50,0,50,2,0,2,0,2,0,2016-04-05,2016-10-04,cut,,regime-2016-10-04-2017-08-02-pause,pause,Demonetization pause,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2016, the Reserve Bank of India policy repo rate ranged from 6.25% to 6.75%; a net change of -50 basis points was recorded across 2 canonical ledger records."
2017,6.25,6.0,6.0,6.25,-25,0,25,1,0,1,0,1,0,2017-08-02,2017-08-02,cut,,regime-2017-08-02-2018-08-01-tightening,tightening,Pre-election tightening,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2017, the Reserve Bank of India policy repo rate ranged from 6.00% to 6.25%; a net change of -25 basis points was recorded across 1 canonical ledger record."
2018,6.0,6.5,6.0,6.5,50,50,0,2,0,2,2,0,0,2018-06-06,2018-08-01,hike,,regime-2018-08-01-2020-05-22-easing,easing,Das easing + COVID,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2018, the Reserve Bank of India policy repo rate ranged from 6.00% to 6.50%; a net change of +50 basis points was recorded across 2 canonical ledger records."
2019,6.5,5.15,5.15,6.5,-135,0,135,6,0,6,0,5,1,2019-02-07,2019-12-05,hold,,regime-2018-08-01-2020-05-22-easing,easing,Das easing + COVID,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2019, the Reserve Bank of India policy repo rate ranged from 5.15% to 6.50%; a net change of -135 basis points was recorded across 6 canonical ledger records."
2020,5.15,4.0,4.0,5.15,-115,0,115,3,0,3,0,2,1,2020-02-06,2020-05-22,cut,,regime-2020-05-22-2022-05-04-pause,pause,COVID hold at record low,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2020, the Reserve Bank of India policy repo rate ranged from 4.00% to 5.15%; a net change of -115 basis points was recorded across 3 canonical ledger records."
2021,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0,0,,,,,regime-2020-05-22-2022-05-04-pause,pause,COVID hold at record low,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2021, the Reserve Bank of India policy repo rate remained at 4.00% throughout the year; no canonical ledger records fall in this calendar year."
2022,4.0,6.25,4.0,6.25,225,225,0,5,0,5,5,0,0,2022-05-04,2022-12-07,hike,,regime-2022-05-04-2023-02-08-tightening,tightening,Inflation tightening,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2022, the Reserve Bank of India policy repo rate ranged from 4.00% to 6.25%; a net change of +225 basis points was recorded across 5 canonical ledger records."
2023,6.25,6.5,6.25,6.5,25,25,0,5,0,5,1,0,4,2023-02-08,2023-12-08,hold,,regime-2023-02-08-2025-02-07-pause,pause,Extended pause at 6.50%,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2023, the Reserve Bank of India policy repo rate ranged from 6.25% to 6.50%; a net change of +25 basis points was recorded across 5 canonical ledger records."
2024,6.5,6.5,6.5,6.5,0,0,0,6,0,6,0,0,6,2024-02-08,2024-12-06,hold,,regime-2023-02-08-2025-02-07-pause,pause,Extended pause at 6.50%,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2024, the Reserve Bank of India policy repo rate ranged from 6.50% to 6.50%; a net change of 0 basis points was recorded across 6 canonical ledger records."
2025,6.5,5.25,5.25,6.5,-125,0,125,6,0,6,0,4,2,2025-02-07,2025-12-05,cut,,,,,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2025, the Reserve Bank of India policy repo rate ranged from 5.25% to 6.50%; a net change of -125 basis points was recorded across 6 canonical ledger records."
2026,5.25,5.25,5.25,5.25,0,0,0,3,3,0,0,0,3,2026-04-08,2026-08-05,hold,neutral,,,,source-b6c29da8f60a,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=63287,4,legacy_import|official_primary,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2026, the Reserve Bank of India policy repo rate ranged from 5.25% to 5.25%; a net change of 0 basis points was recorded across 3 canonical ledger records."
